file;bytes;lines;sha256;coverage
.gitignore;297;31;994ada4f620c1e89216773d333aff9ae53ef657bd907e58c4168f3a781114bc6;"Inventário textual; ver mapa de revisão"
Dockerfile;288;16;d744a0c775b677c329c215b93a554e7b4559a4c8fb83bdcfb28ff5ba1dc62b88;"Inventário textual; ver mapa de revisão"
JW-Search.apk;12169622;;0d1a985d349c58c3a802387e2f07364c6c49183eab5eeea080bab28bca8a5c18;"Binário inventariado; conteúdo não auditado"
Procfile;32;1;bb7b7254c68e90e09e7f454c316cc30d9c0d2fff253f5286c6b3061c5de9a235;"Inventário textual; ver mapa de revisão"
README.md;14070;237;bf4fe9f7211f158f70822789e88d9a6729962b3ca74e491d399a7e3fa3b034ab;"Inventário textual; ver mapa de revisão"
android/.gitignore;240;15;9c8db52985e5456a85e490b6d799ac3222704d7e42c773e31ad032b034c300bd;"Inventário textual; ver mapa de revisão"
android/app/.gitignore;6;1;5c3174b74edc6f2b9e0743594b8bd3c7f31e4f4405758cc9872b3fe1de1d28b4;"Inventário textual; ver mapa de revisão"
android/app/build.gradle.kts;2562;87;78eb26b8aa054c06fbd40c82264b9ca20d6d80f7ad279ab4c1cb72a1956a4fdd;"Inventário textual; ver mapa de revisão"
android/app/src/androidTest/java/com/example/jwsearch/ui/main/MainScreenTest.kt;648;24;ee9d78a83743e5da3d77d11d29f242acea7e8ef9ed9edd124985b0ae5e63ae90;"Inventário textual; ver mapa de revisão"
android/app/src/main/AndroidManifest.xml;921;25;6d2a320e2d2f6dd28ca327d794bd5206c32521194dc715b05fb91f55ddb7d6e7;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/MainActivity.kt;1074;30;b7ac3c4e31e8923a0a66bd5eb9d379cf611a7b3085567a96a2715da062e275c6;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/Navigation.kt;1277;40;60cab51ec72707b0bdd712e1bce3477d625042b22fb4696793747a432c833c45;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/NavigationKeys.kt;267;8;a793ccbf3479c60c4ca15be70455d977fc37b02c4db6112944a85652811d1e3b;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/data/DataRepository.kt;305;12;8e781409a9b108da953de4c75e79ee1e1b6ff1feaccde8ffe47b2632c578c8fc;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/data/SearchApiClient.kt;18005;391;04ff8d7cff8d529383d244b11ad75bd8650164704ce17f6933df0afac54b00ce;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/data/SearchResult.kt;326;15;7aefd039fb40b5729f088b67a0cd9a2a332a659129e25e4d0ef035b4d7b9137b;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/theme/Color.kt;293;11;ba6c4a9141a12f4c14e75109139452b24df0d1957a2cb59c5e182ccd9ea81b1a;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/theme/Theme.kt;1653;50;b134b0a081e3d910452ee5e85f0608e536cb8cf7af7f6c5fe4cc990c9f5a91c9;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/theme/Type.kt;1036;36;ecbd212097d2c388f4aa9eeabf4c697cea63846a98ec2ba762771d4ce172c544;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/ui/main/MainScreen.kt;31026;652;6974f3766782dcef1c735cba6505ca39cf059a33ec1d47ee28fd16e9a7bbb1ea;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/ui/main/MainScreenViewModel.kt;4679;141;8ca3853405beaf4e86df23239876f5e129fc83a0f013c0038ed2239a762201fd;"Inventário textual; ver mapa de revisão"
android/app/src/main/java/com/example/jwsearch/ui/main/ReaderScreen.kt;7932;193;157728f0e9fafa633e6273c27c76ebd65a582cd88a3569afbc8eeb4bfc8f5d1e;"Inventário textual; ver mapa de revisão"
android/app/src/main/res/drawable/ic_launcher_background.xml;5776;170;38381d0d0a64770d992c98e5b5e492555690af40e2fc6ee59e5a1c2a7c0fdcde;"Inventário textual; ver mapa de revisão"
android/app/src/main/res/drawable/ic_launcher_foreground.xml;1731;30;6e3c1bb64d9bec079cf0030d867c58b064d2fb19ca6c5a691543c43134f64a2a;"Inventário textual; ver mapa de revisão"
android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml;348;6;e7c073fbec1a51a73f678b266a1cb207aa6468e3ea1504d24f43591f31d2b7c5;"Inventário textual; ver mapa de revisão"
android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml;348;6;e7c073fbec1a51a73f678b266a1cb207aa6468e3ea1504d24f43591f31d2b7c5;"Inventário textual; ver mapa de revisão"
android/app/src/main/res/mipmap-hdpi/ic_launcher.png;3658;;fb70920d85a29488cce6d900f64c9f4af9a71c8df1a149f08c599a2b63aef3f6;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-hdpi/ic_launcher_round.png;4945;;2bea1e6e7ca92c9fff6fff883b41dd630628218a858cee7038f272f75e707748;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-mdpi/ic_launcher.png;2462;;e5d35016b9e98a46ddd7045921e86e81ec4a641bb94e97e51e66d5c5d16cf06c;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-mdpi/ic_launcher_round.png;3270;;d9de54ea97740f9f2376a628ed4f24fcb84cd84a1905bbf0cb359a5b489553ee;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-xhdpi/ic_launcher.png;5062;;4df1a1e2e59920eea1c03d732fc8cacfa6c5b9dca56cc6b381d512c3abd9bc73;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png;6912;;f38f9180ab9b613801de516102a1f6ae3d2b07764d59d05f45f1b0c0759f8b13;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png;7387;;4279075febf1b18c3927519ed04e8b8692046a21b9c7dfa2ecb0c931ae575d20;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png;9822;;240fa46deb386675f18db0e0560c2f9417fd66643ebef7d639d6da1e47801752;"Binário inventariado; conteúdo não auditado"
android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png;10378;;f7b244563c1afcb267727125f305be8f33c9f4f9c9d5416dc0bfac3386f0966f;"Binário inventariado; conteúdo não auditado"
